Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Label
45110.2,1088800,-21376,259,889,23591,1
5698.7,7128.14,-1670.7,52,93,545,0
8571.41,8118.92,-840,154,109,486,0
10074.4,34065.5,-4368.03,109,208,1691,1
11414.7,84971.7,-2070,24,220,3450,0
13214.8,38484,-5019,42,232,1474,1
7847.5,10871.6,-3433.29,38,156,654,0
13649.7,60699.3,-1910,53,223,2822,1
8816.91,29095.5,-3428.29,35,179,1626,1
9606.79,34330.5,-3513.28,83,176,1922,0
35616.2,1385700,-21268,114,728,33059,1
12753.2,79802.5,-6680,53,272,3539,0
19933.6,299411,-13230,82,541,10395,1
7629.9,10949.9,-3387.15,36,156,654,0
7773.9,9512.21,-3057.16,100,130,490,0
13565.4,87069,-6351,48,293,4245,1
13745.6,49955,-6365,42,260,2196,1
13921.5,63931,-2500,40,223,2822,0
7837.59,23576,-4362,31,138,1309,1
4285,2050.5,-1085,4,63,166,0
9768.74,22293,-4782,31,190,1163,1
10166,33828.7,-3368.04,86,176,1922,1
21645.3,261098,-10275,137,441,7591,1
8549.2,11361.6,-3090.26,43,156,654,0
10138.3,26292.9,-3235.61,24,174,1415,0
10943.3,27206,-584,34,166,1111,0
7168.26,14231.1,-2348.39,79,120,809,0
11036.6,87979.9,-3630,44,220,3450,0
20419.4,233797,-10732,50,456,7708,1
24336.3,462358,-11600,58,483,15505,0
20142.1,234869,-11200,103,537,8350,0
8622.52,37689.6,-3932.59,53,180,2054,1
5876.49,7827,-2128,10,94,515,1
4169.13,2160.38,-1060.38,20,54,165,0
8066.26,27280.7,-2907.63,86,156,1521,0
16637.6,143577,-7537.29,182,362,5847,0
6488.37,8975,-2028,18,120,551,1
3749.37,2140.32,-548.99,6,43,161,1
8791.19,16779.8,-2754.3,72,142,844,0
20431.6,454817,-10879,83,486,14809,1
11238.7,24231.9,-3530,34,182,1212,1
6439.76,4319,-1247,11,85,206,1
7670.15,9540.04,-3073.58,101,130,490,0
10228.2,109946,-2360,49,235,4905,0
8522.43,29459,-2153,50,161,1683,1
16841,117209,-9093,98,330,4342,1
11511.5,88007,-6440,50,275,4708,1
13307,63941.7,-3760,42,224,2192,0
9906.25,32852.1,-3474.2,83,176,1922,0
15772.5,118142,-4650,53,271,4426,0
13627.4,46938.9,-5806.08,70,273,2061,1
11890.9,58748.1,-3130,55,223,2822,0
22131.8,407109,-8020,67,473,14125,0
7030.46,5054.06,-2138.46,56,107,346,0
23432.1,426135,-17336,119,538,14484,1
8991.78,69150,-4800,71,206,3532,1
6356.89,10129.1,-3360,11,109,689,0
3836.14,2206.69,-568.651,5,43,161,1
10975.9,40274,-5315,100,210,1755,1
7788.48,8841,-2687,56,127,550,1
7880.02,8991.08,-1420,21,102,516,1
6039.8,4764.71,-1070,20,85,343,1
6216.72,14839,-3059,33,114,889,1
12205.8,88353.7,-2360,16,220,3450,0
15403.6,116594,-4570,51,271,4426,0
8373.28,4837.43,-2623.83,23,131,271,1
12627.1,80887.4,-5450,42,272,3539,0
11399.5,86091.3,-2680,26,220,3450,0
10699.2,27355,-1327,18,224,1217,1
10034.9,51938.9,-3300,32,188,2599,0
15790.4,90020,-8703,111,329,3888,1
15185.6,109114,-6210,40,322,4619,0
10865.9,39342.2,-3934.64,26,193,2118,0
7759.85,4427.35,-1680,26,86,205,0
7869.81,12938.4,-2586.37,15,132,806,0
12260.2,73386.2,-2890,24,249,3630,0
18342.2,161940,-9670,85,388,6290,0
6921.28,9237,-3256,37,116,615,1
9953.64,30654,-5657,13,174,1470,1
11437.3,87245.7,-3350,25,220,3450,0
11144,50141.1,-5100,25,216,2677,0
12205.5,79962.6,-5840,46,272,3539,0
13560.4,117845,-2580,47,235,4905,0
13322.2,45703.1,-1090,51,223,2059,0
8244.48,27901.7,-2859.15,88,156,1521,0
21038.7,466494,-14581,305,497,16216,1
14722.1,95151,-8205,35,280,3543,1
8220.02,15102,-2932,20,122,810,1
6613.26,6545,-1724,6,77,366,1
11238,49663.9,-4220,32,216,2677,0
9654.12,37288,-4180,14,178,1694,1
5766.26,7542.96,-1786.1,71,104,457,0
5510.29,4455.4,-1280,7,79,317,0
5156.43,4260.97,-1380,9,79,317,0
9680.14,27496.3,-2960,34,194,1521,0
21447.7,336761,-12362,82,455,9276,1
8147.95,9480,-3268,37,142,521,1
5110.65,4062.32,-1279.76,9,72,340,0
6943.07,5150.17,-2210,8,79,292,0
9345.81,37816.4,-3777.52,49,180,2054,1
8380.45,12210.7,-2350.56,75,128,693,0
5648.57,7567.99,-1851.88,71,104,457,0
11540.7,50315.5,-5640,26,216,2677,0
6918.68,5286.62,-2380,10,79,292,0
2550.42,52.7301,-319,96,33,5,0
15978.2,110268,-6220,47,322,4619,0
2343.55,67.7433,-805,6,33,5,0
8516.19,24631.2,-3131.79,33,157,1519,0
22254,473092,-14300,56,483,15505,0
13110.9,43720.3,133,66,223,2059,0
9331.98,22896,-2640,31,140,850,1
12732.6,130177,-9750,58,345,5325,1
4683,3858.37,-1450,21,79,317,0
12819.1,93868,-6065,135,248,4057,1
8096.18,9440.18,-2959.6,82,130,490,0
6692.49,7268.04,-2340,164,109,486,0
13586.9,52404.5,-6003.56,50,288,2334,0
10041.3,26707.9,-3399.67,27,174,1415,0
6657.87,13189.8,-1538.25,19,96,804,0
7959.24,23789,-2861,40,145,1358,1
19098.5,269466,-10881,66,424,9135,1
5167,4243.83,-1550,19,88,292,0
10512.6,37708,-4184.18,115,205,1751,0
5761.05,11051.1,-1942.5,20,102,764,0
7316.59,4145.78,-1970,24,86,205,0
8236.59,10241.3,-2848.81,95,130,490,0
9000.91,27716.4,-2981.52,93,158,1403,0
9337.66,30171.9,-3232.84,121,171,1747,1
9423.31,24193.5,-1180,8,166,1111,0
5738.53,7630.65,-1855.87,67,104,457,0
9062.58,27068.9,-2968.82,92,158,1403,0
8136.34,4784.33,-2683.4,32,131,271,0
15027.1,57950.9,-5250,38,215,2188,0
7738.99,26466.4,-2920.24,97,156,1521,0
9458.41,36234.1,-4510,43,196,1997,1
13945.3,51955.3,-5898.67,42,288,2334,1
9266.76,52023.4,-3160,35,188,2599,0
8087.84,23021,-2302,17,145,1357,1
14831.9,95294.2,-4460,66,254,3885,0
17514.8,270319,-9333,310,401,9680,1
4973.97,3277.06,-1196.47,36,71,249,0
7104.82,9583,-2042,21,130,585,1
22393,285630,-9757.66,68,468,9276,0
23052.5,279140,-9130.5,78,468,9276,1
10304.9,32520,-6419,96,205,1637,1
8931.22,17111.8,-2648.78,78,142,844,1
9384.84,38720,-2340,11,196,1885,0
9554.5,26435.3,-2620,38,156,1364,0
8366.61,22109,-2874.81,63,145,1156,0
20159.3,197060,-4780,81,403,6746,0
12401.4,34205.8,-2890,32,234,1581,0
7261.92,4058.74,-2210.36,65,101,249,0
8443.44,12045.8,-2579.07,84,128,693,0
8616.55,26067.4,-3220,30,156,1364,1
14556.4,56460.3,-2480,65,223,2059,0
12178.8,50551.5,-6290,41,234,2464,0
9932.59,27277.1,-2554.85,108,158,1403,0
13873,162182,-8064,192,289,6171,1
19999.5,298364,-13328,346,526,10686,1
3778.28,2128.17,-1068.91,23,54,165,0
13700.4,137724,-7440,135,286,5740,1
11680.4,73769,-4880,20,249,3630,0
23157.9,279303,-9737.08,67,468,9276,1
7858.98,20495,-4000,46,153,1210,1
9812.67,70938.7,-2880,24,249,3630,0
9245.48,25719,-3661,19,166,1408,1
9789.11,34725,-3527.9,86,176,1922,0
11122.7,61048,-6282,12,214,2325,1
3532.39,1896,-744,9,59,168,1
9551.54,24249,-3618,53,165,1209,1
8768.23,25152.4,-3100.25,41,157,1519,0
5633.63,3380.62,-2660,16,86,205,0
11885.2,63007,-6305,42,217,2254,1
18148.9,177102,-10113,218,411,6750,1
5480.1,4256.74,-1010,13,88,292,1
15777.1,115201,-5350,52,271,4426,0
9755.31,7573,-3094,75,135,483,1
13924.8,180839,-10393,150,384,7221,1
9229.99,31780.7,-2008.54,43,132,1513,0
8919.9,26436.9,-1960,34,156,1364,0
9966.66,28839.1,-2240,46,166,1414,0
24246.8,279655,-9700,85,540,8870,0
7442.35,4433.28,-2450,26,86,205,0
21671.5,178945,-8840,94,449,5537,0
12886.2,79603.1,-4710,53,272,3539,0
13439.7,72567.3,-2680,34,264,3217,1
13184.9,45723.8,-5716.25,64,273,2061,0
5566.57,3223.12,-3060,12,86,205,1
16650.3,111732,-5800,39,322,4619,0
14913.4,66609,-2490,52,223,2059,0
10840,39373.8,-3960.88,25,193,2118,0
10229.6,21380,-3255.38,74,163,1162,0
13204.4,75433.9,-3890,47,264,3217,0
24246.9,303265,-16011,71,512,9839,1
3823.77,1477.82,-991.843,42,52,133,0
5802.07,7590.46,-1856.07,75,104,457,0
18374.8,178742,-6080,66,403,6746,0
14407.7,59497,-6774.88,169,305,2610,0
4359.93,2059.16,-1060.72,7,63,166,0
11019.7,35547.4,-3400,39,234,1581,0
16553.4,140389,-11200,97,449,5537,0
13513.3,50924.4,-4650,32,234,2464,0
22095.5,355268,-12015,89,513,12358,1
13974,60998.2,-5550,28,247,2754,0
18040.9,271890,-13502,68,430,9684,1
7242.79,6753.42,-987,15,119,395,1
8418.05,12309.8,-2538.76,83,128,693,0
4139.33,1961.18,-1102.76,5,63,166,0
6476.27,5093.88,-2250.39,49,107,346,0
5093.04,3031.78,-780.863,36,51,132,0
4980.41,1616.65,-1470.69,20,76,147,0
16459.3,233650,-8500,42,374,8598,1
5636.08,2648,-1341,6,80,226,1
12054,62494,-4120,42,214,2672,1
12159.3,50684.5,-6420,38,234,2464,0
9814.72,10215.9,-2560,34,154,587,0
14465.4,96188.2,-5709.99,65,294,4249,1
7233.23,13041.6,-1417.35,33,96,804,1
11290,75283,-5918,48,249,3627,1
25362.7,474761,-11300,52,483,15505,0
13245.9,61793.7,-5690,32,247,2754,0
5029.21,4322.14,-1306.54,12,72,340,1
8653.75,12177.1,-2449.26,80,128,693,0
7396.21,9247.54,-1660,28,102,516,1
15358.8,136881,-6509,52,329,4725,1
13720.3,141887,-5280,41,315,5844,0
14404,78627.6,-7366,71,320,3466,1
24741.9,270500,-10800,73,540,8870,0
8396.6,12233.2,-2765.3,80,136,619,0
8866.46,29088.9,-3428.66,34,179,1626,1
10885.9,39042,-4182,27,194,1636,1
10896.1,34052,-4550,35,196,1580,1
14028.6,67707.4,-3760,67,224,2192,0
5477.49,3986.26,-1880,15,79,292,0
7558.99,7511.58,-1780,157,109,486,1
13544.6,59228.5,-5680,16,215,2188,0
9826.21,49116.5,-4860,27,216,2677,0
10791.7,36152.2,-2730,49,234,1581,0
5319.86,3470,-1904,17,87,289,1
15039.6,111130,-9398,53,310,4066,1
9199.87,13300,-4058,22,160,805,1
9121.26,10166.8,-2290,33,154,587,0
24016.4,280750,-11300,73,540,8870,0
6613.28,4858.41,-2021.67,65,93,248,1
11473.8,67436,-6321,35,300,3297,1
15689.6,115326,-5550,51,271,4426,0
14646.4,52628.8,-2430,52,223,2059,0
6966.35,4433,-3550,32,107,270,1
9075.6,20444.4,-3334.54,81,163,1162,1
11862.1,40793.3,-3852.12,109,205,1751,0
12242.1,70522.3,-5586.75,53,262,3211,1
13666.5,80738.7,-4760,66,272,3539,0
8672.15,37867.7,-3907.84,43,180,2054,1
9787.36,24082,-5178,43,135,1020,1
22276.8,312374,-12796,83,456,9968,1
23845.4,548665,-11624,106,517,17885,1
6262.83,3513,-3010,7,77,167,1
3429.65,1359.07,-654.065,32,40,100,1
29566.5,673412,-359930,139,663,17345,1
9645.95,26437,-3810,55,152,1409,1
9074.46,12262,-2786,43,157,622,1
6878.18,3949.45,-2296.92,65,101,249,0
12113.1,115691,-4230,51,235,4905,0
13517.1,94158.5,-6448.1,42,294,4249,1
9641.03,18590,-4292,16,189,978,1
8686.88,16848,-4304.66,35,183,931,1
10588.2,37166.5,-3330,34,196,1997,0
9411.41,51821.5,-2940,34,188,2599,0
8950.55,18907,-3571,24,149,897,1
10102.4,49292.3,-5120,42,216,2677,0
10442.8,10410.3,-2380,36,154,587,0
8512.69,29000,-3899,39,202,1637,1
8229.2,26780.5,-2827.61,91,156,1521,1
18901.4,162907,-9850,93,388,6290,0
8696.84,11186.3,-3095.11,42,156,654,0
22928,268611,-4912,104,460,8479,1
6654.23,8645.74,-2440,21,102,516,0
4237.13,2484,-719,19,77,186,1
8100.53,22703.1,-2710.45,10,132,1258,1
5987.37,4898.08,-1190,21,85,343,1
7979.52,9882.08,-2419.67,28,123,621,1
13924,140483,-4650,47,315,5844,0
4103.81,1905.19,-1087.44,7,63,166,0
12067,78717.1,-6440,38,272,3539,0
7554.17,9331.56,-3127.67,13,138,554,0
10592.9,50640.8,-4710,21,216,2677,0
10722.8,32916.3,-3250.56,75,176,1922,0
13624.6,76091,-4580,49,264,3217,0
8429.48,11975.9,-2613.12,90,128,693,1
25789.4,478595,-10800,46,483,15505,0
9767.52,10227.6,-2290.35,91,130,490,0
16065.1,257919,-9075,58,361,9536,1
9046.92,17176.1,-4205.84,34,183,931,1
14408.7,154148,-9426,243,353,6402,1
7602.89,9397.03,-3237.24,86,135,587,1
23824.3,234683,-9450,103,537,8350,0
7252.3,5380.79,-1590,16,79,292,0
11196.3,39581.4,-3862.61,25,193,2118,0
11078.5,38680.7,-4030.66,114,205,1751,1
11742.7,52249.1,-5530,41,216,2677,0
9660.44,39277,-2190,21,196,1885,0
12431.4,56996.9,-2310,52,223,2822,0
8801.9,29049.4,-2772.77,88,156,1521,0
12377,71880.9,-5518.28,27,262,3211,1
15083.6,102916,-11667,247,412,4346,1
12652.6,81162,-4287,45,263,3299,1
16976.1,151956,-7745,57,288,3975,1
4917.87,3200.21,-1137.56,37,71,249,0
11450.8,68767.7,-5192.42,147,247,3373,1
10398.7,31181,-4022,57,198,1581,1
14367.8,64045,-4067,32,256,2533,1
2493.45,51.5672,-621,8,33,5,1
4808.96,4806,-1494,15,75,367,1
2579.68,53.2692,-487,6,33,5,0
4704.48,3337.35,-1225.01,34,71,249,0
12768.7,51273,-5671,158,251,2260,1
7778.22,15679.7,-2701.19,76,134,970,0
19071,292520,-9360,53,400,9270,1
22442.5,411732,-7720,63,473,14125,0
6800.95,13407.5,-1520.84,20,96,804,0
5571.4,7105,-3007,31,101,486,1
5072.09,3559,-676,21,80,247,1
21268.4,255782,8690,61,540,8870,0
6175.18,14716.5,-2379.24,91,119,931,1
10887.1,86516,-6323,38,232,3883,1
13503.9,67884.5,-2970,53,224,2192,0
8935.7,11093.5,-3224.85,33,156,654,0
2393.28,49.9066,-540,8,33,5,1
12590.9,45871.5,-5967.42,64,273,2061,0
3922.28,1443.51,-973.392,41,52,133,0
8549.77,11488.8,-3066.64,41,156,654,0
9189.37,13634.2,-2858.77,16,148,729,0
8679.89,19411.4,-3205.35,17,157,1113,1
13241.3,82207.1,-4980,52,272,3539,0
10500.7,31430,-5835,21,196,1470,1
23288.4,309188,-9846,244,418,9136,1
20757.1,159488,-9040,88,449,5537,0
24364,463129,-11200,46,483,15505,0
11889.2,70734.7,-4887.65,116,247,3373,0
16122.1,68725,-5261,323,298,3055,1
14754.2,140673,-3970,53,315,5844,0
7402.95,14971.5,-2726.71,70,131,971,1
12898.6,54649.2,-4150,32,216,2677,0
5983,10952.5,-1935.74,19,102,764,0
8633.76,13562.6,-2840.56,13,148,729,0
9265.92,39015.3,-3550,22,196,1885,0
7879.03,9384,-2787,80,129,585,1
4482.86,1585,-2494,11,73,115,1
4180.64,2262.4,-1101.14,20,54,165,0
24052.1,280611,-12500,80,540,8870,0
18475.4,162673,-10600,78,388,6290,0
12167.9,73491.5,-4200,25,249,3630,1
21854.4,515572,-11632.7,145,540,18067,0
23270.7,252774,-11900,123,537,8350,0
13716.3,52042,-9051,47,306,2255,1
13865,70582,-5621,45,270,3130,1
20468.2,256684,-7874,127,466,9262,1
8994.08,12257.7,-2752.25,93,136,619,0
11507.2,114965,-5190,44,235,4905,0
8443.37,9445.88,-2637.9,37,138,554,0
4831.07,2944.97,-1175.09,33,71,249,0
17269.4,144801,-10782,80,397,5853,1
4628.89,2932.95,-1230.71,32,71,249,0
12709.4,50925.3,-5120,34,234,2464,0
10581.5,38839.5,-3838.31,47,193,2118,0
11608.1,96538,-7983,23,286,4803,1
5081.34,2945.66,-1182.27,43,67,224,0
8697.09,25107.7,-3142.19,34,157,1519,0
3892.2,2169.05,-1089.47,20,54,165,0
6176.71,10458.6,-3580,19,109,689,0
6709.53,5455.49,-1850,9,79,292,0
12474.2,58068.7,-2640,37,223,2822,1
10016,37824.9,-3630,43,196,1997,0
5382.6,4320.41,-558,13,88,292,1
10100.8,26421.6,-4390.07,37,214,1469,0
5681.23,3276.05,-1061.05,38,71,249,0
6454.88,13768.5,-1534.32,20,96,804,0
10472.9,32039,-5491,121,197,1579,1
11223.7,91969,-4929,41,230,4241,1
12026.7,113774,-2520,41,235,4905,0
14557.5,141462,-4480,51,315,5844,0
9275.61,29521.5,-2766.74,82,156,1521,0
3813.49,1444.76,-992.066,42,52,133,0
12299.7,86305,-6213,186,245,3968,1
11797.7,34617.4,-2860,22,234,1581,0
24955.6,473197,-11000,50,483,15505,0
9996.25,27558,-4172,101,199,1523,1
13235.2,70016,-6748,60,282,3218,1
19800,235543,-12300,95,537,8350,0
8754.11,27397,-4556,13,142,1255,1
13896.7,119349,-6165,30,305,4443,1
7956.71,12543.4,-2690.72,63,130,694,1
21978.2,254773,-11900,75,540,8870,0
4096.85,2245.46,-1124.15,20,54,165,1
18558.9,199463,-9000,54,390,7459,0
18932.4,195288,-9356,67,389,6408,1
8527.41,25237.6,-3235,28,157,1519,0
14263.2,79233.2,-7128.89,73,320,3466,1
12954.7,61086.9,-6030,31,247,2754,0
24567.6,433271,-14367,165,610,13977,1
20334.3,136242,-6290,102,359,4922,1
12385.9,40858.1,-2850,38,234,1581,0
13526.3,51956.1,-3650,34,234,2464,0
7261.38,13103,-3057,19,144,768,1
12238.4,73366.4,-3840,26,249,3630,0
8600.76,22370,-1212,239,143,1018,1
2373.38,50.9566,-515,8,33,5,1
5707,4469.09,-660,21,88,292,0
21039.9,480715,-12220,182,459,14984,1
4989.29,3275.1,-1162.51,29,71,249,0
8904.39,30266.9,-2038.09,27,132,1513,0
12452,93589.4,-1420,31,220,3450,0
6655.78,13323.9,-1567.08,17,96,804,0
15073.9,79059.4,-7134.56,71,320,3466,1
11987,52697.9,-3170,76,224,2192,0
15769.5,114650,-4170,53,271,4426,0
13855,51149.1,-3620,23,234,2464,0
5399.15,4456.68,-1140,19,88,292,0
7767.9,11360.2,-3371.74,24,156,654,0
10303.5,32133.1,-3352.75,79,176,1922,0
6720.62,13758.3,-2682.41,10,119,931,1
3496.01,1290.25,-670.129,33,40,100,0
14320.3,139595,-4990,39,315,5844,0
5293.21,3470.91,-798.575,28,51,132,0
20295.7,151831,-9350,94,449,5537,0
6948.31,8682.15,-2600,20,102,516,0
4361.89,1984.36,-1040.23,5,63,166,0
24822.9,475519,-11300,42,483,15505,0
7552.65,15517.5,-2772.46,77,134,970,0
12392.9,78491.6,-4680,46,272,3539,0
33257.2,610321,-15472,65,619,15174,1
20893.3,144606,-7530,81,449,5537,0
7222.12,5658.84,-1510,17,79,292,0
9394.75,17105.1,-4245.1,34,183,931,1
16529.7,143595,-7519.88,190,362,5847,0
10145.5,33967.8,-3562.7,95,176,1922,1
7595.79,10056.7,-2467.73,22,123,621,1
9011.15,20828,-3285,48,179,1162,1
23389.2,514974,-11135.2,111,540,18067,0
12286.1,49009,-5390,38,215,2188,1
3794.78,1464.75,-945.807,35,52,133,0
4726.64,2957.81,-1345.67,42,67,224,0
14403.8,140093,-5850,40,315,5844,0
5140.02,4325.92,-998,14,79,317,0
16329.3,152312,-76248,88,366,6190,1
5291.31,4276.55,-1190,9,79,317,0
13683.7,92334.4,-5160,61,254,3885,0
10246.5,33538.8,-3403.04,91,176,1922,0
7296.97,15438.8,-2654.05,66,134,970,0
23411.3,472877,-12700,66,483,15505,0
9018.75,10415.6,-2743.04,98,139,587,0
12865.5,46727.5,-2240,52,223,2059,0
8489.87,10545.8,-3035.12,38,156,654,0
10012.4,48716.6,-5960,35,216,2677,0
8499.95,24569.2,-3125.09,33,157,1519,0
2476.05,50.8063,-335,92,33,5,0
11533.2,49333,-5951,173,243,2390,1
5310.29,4052.8,-1517.91,121,88,318,0
5169.07,4599.89,-1510,29,85,343,1
8443.81,12027.3,-2536.36,81,128,693,0
10852.6,69867.2,-5398.66,134,247,3373,1
9702.55,25987.6,-3309.6,28,174,1415,0
5112.59,4166.29,-1190,11,79,317,0
20515.5,544343,-13284,104,457,15149,1
7092.17,18557,-3491,27,130,1062,1
14975.7,78326.7,-2650,53,223,2059,0
6074.55,3459,-3028,12,110,228,1
13865.6,92685,-5090,63,254,3885,0
17941.1,161364,-10100,75,388,6290,0
7228.03,14064.4,-2373.55,90,120,809,0
5914.92,10689.4,-1798.47,40,102,764,0
7488.09,9265.39,-3026.48,19,138,554,0
9594.25,26122,-5641,60,168,1463,1
5150.44,4211.54,-856,14,79,317,0
14151.4,251266,-5729,75,389,10518,1
16117.4,152817,-7912,177,337,6065,1
15793.8,115811,-4410,54,271,4426,0
2747.02,54.9691,-226,92,33,5,0
21107.1,192443,-4860,71,403,6746,0
5154.7,2927.84,-1051.09,30,71,249,0
19070,177856,-4600,96,403,6746,0
6765.15,10413.7,-3380,12,109,689,0
9076.53,27201.9,-2911.1,92,158,1403,0
18545.9,147541,-7238,183,362,5847,1
16322.1,93216,-9195,75,376,3635,1
7564.5,7627,-1351,15,130,519,1
8934.08,23135,-4306,16,166,1164,1
17578,110814,-4370,37,322,4619,0
16071.1,192851,-9540,53,390,7459,0
14499.7,145974,-6137.42,155,308,6057,0
4543.85,4128.51,-1610,8,79,317,0
16474.5,178680,-8595,73,347,6976,1
5443.41,5607,-2813,46,96,371,1
14794.8,123057,-5085,46,309,4431,1
9067.57,29079,-3415.36,32,179,1626,1
11843.3,50626,-5590,37,222,2190,1
5516.09,7042.01,-1685.32,46,93,545,0
9572.85,23905,-3604,22,171,1259,1
2480.07,52.5965,-350,96,33,5,0
23900.7,471266,-12026,124,641,14152,1
10873.5,50156.2,-4530,27,216,2677,0
9177.8,32665,-3343,48,179,1693,1
6825.99,5346.56,-1790,8,79,292,0
14941.2,86906,-7672,76,299,3801,1
8835.98,49441.9,373,34,188,2599,1
3715.93,2146.17,-567.287,6,43,161,1
15139,90833.2,-2490,53,223,2059,0
11892.3,53567.4,-4297.2,94,209,2534,1
27127.7,747880,-11468,95,551,17887,1
6981.71,8698,-2918,20,119,522,1
18610,147299,-9030,76,449,5537,0
7319.59,8865.56,-1100,27,102,516,0
20385,235158,-10324,29,369,5746,1
7569.35,14020.3,-2332.5,87,120,809,0
4467.21,1369,-1350,14,68,87,1
14574.9,141452,-4110,48,315,5844,0
9314.58,52028.7,-2790,22,188,2599,0
13075.3,103338,-5040,62,322,4619,0
9811.35,36674.7,-3380,30,196,1997,0
17862.6,161520,2240,82,388,6290,0
3997.48,1563.91,-865.602,31,52,133,0
14132.4,141457,-4560,47,315,5844,0
13054.1,50522.2,-4650,41,234,2464,0
19508.9,227385,-11073,86,459,8343,1
14208.7,95165.4,-5458.11,53,294,4249,0
9880.61,51664.6,-3420,19,188,2599,0
9047.54,38703.7,-3310,22,196,1885,0
13802.5,73206.5,-4894.71,56,262,3211,1
6922.14,11061,-3037,18,120,691,1
6838.14,5325.3,-1870,10,79,292,0
5304.73,4449.89,-2130,9,79,292,1
22537.5,515348,-11594.6,149,540,18067,0
19556.9,324534,-12399,108,509,11268,1
14760.8,39741,-3247,37,206,659,1
13019.7,114306,-3180,39,235,4905,0
18950.7,507291,-8707,96,432,14619,1
12123.1,91699.4,-4610,61,254,3885,0
7473.08,12570,-2212,53,124,763,1
13630.1,51088.5,-3790,35,234,2464,0
7991.5,17134.7,-2863.27,73,142,844,0
26944.9,623527,-19657,167,779,18103,1
14057,142175,-5540,48,315,5844,0
11262.6,113222,-3570,49,235,4905,0
4534.61,3397.19,-1070.32,43,60,243,1
14537.3,144757,-6045.69,170,308,6057,0
8695.58,13832,-5930,12,158,733,1
8897.84,26610.1,-2760,30,156,1364,0
13312.1,60527.6,-4870,24,247,2754,0
11822.6,53234.4,-4302.12,95,209,2534,0
13783.6,94080.8,-5662.94,49,294,4249,0
10559.3,37710.8,-4199.29,127,205,1751,0
8930.44,26787,-5331,45,171,1521,1
21712.1,408341,-8260,64,473,14125,0
7850.48,9114.66,-1280,30,102,516,1
17900.9,159130,-10400,81,388,6290,0
16150.3,251012,-9368,85,409,9406,1
7299.47,14129,-2317.84,84,120,809,0
13203.9,119128,-3210,40,235,4905,0
3782.64,1364.82,-601.188,30,40,100,0
8453.45,12274,-2865.09,94,136,619,0
3872.86,1754,-1530,8,58,130,1
9359.94,37853.7,-3779.65,44,180,2054,1
13615.8,52677.5,-5976.08,55,288,2334,1
22565.1,239448,-11200,100,537,8350,0
13530.1,123155,-8247,46,366,5423,1
18355,160555,-9940,88,388,6290,0
9863.13,37756.1,-4120,46,196,1997,1
9721.05,27016.1,-2700,11,166,1414,0
